1315	COPB1	COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]				REACTOME_INNATE_IMMUNE_SYSTEM						
9641	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]				REACTOME_INNATE_IMMUNE_SYSTEM						
4179	CD46	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]				REACTOME_INNATE_IMMUNE_SYSTEM						
9871	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]					REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC			REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION		
3134	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]					REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC			REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION		
7531	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]						REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI				
55236	UBA6	ubiquitin like modifier activating enzyme 6 [Source:HGNC Symbol;Acc:HGNC:25581]								REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION		
6428	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]									REACTOME_METABOLISM_OF_RNA	
10291	SF3A1	splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]									REACTOME_METABOLISM_OF_RNA	
4481	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]										
1795	DOCK3	dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]										
509	ATP5F1C	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]										
2532	ACKR1	atypical chemokine receptor 1 (Duffy blood group) [Source:HGNC Symbol;Acc:HGNC:4035]										
9768	PCLAF	PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]										
5232	PGK2	phosphoglycerate kinase 2 [Source:HGNC Symbol;Acc:HGNC:8898]										
100303728	SLC25A5-AS1	SLC25A5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43438]										
10230	NBR2	neighbor of BRCA1 lncRNA 2 [Source:HGNC Symbol;Acc:HGNC:20691]										
10241	CALCOCO2	calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]										
10982	MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]										
117531	TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]										
139425	DCAF8L1	DDB1 and CUL4 associated factor 8 like 1 [Source:HGNC Symbol;Acc:HGNC:31810]										
143570	XRRA1	X-ray radiation resistance associated 1 [Source:HGNC Symbol;Acc:HGNC:18868]										
147727	ILF3-DT	ILF3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:27115]										
147804	TPM3P9	tropomyosin 3 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:44142]										
158293	FAM120AOS	family with sequence similarity 120A opposite strand [Source:HGNC Symbol;Acc:HGNC:23389]										
1618	DAZL	deleted in azoospermia like [Source:HGNC Symbol;Acc:HGNC:2685]										
161829	EXD1	exonuclease 3'-5' domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28507]										
1745	DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]										
344148	NCKAP5	NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]										
5090	PBX3	PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]										
54584	GNB1L	G protein subunit beta 1 like [Source:HGNC Symbol;Acc:HGNC:4397]										
57062	DDX24	DEAD-box helicase 24 [Source:HGNC Symbol;Acc:HGNC:13266]										
57180	ACTR3B	actin related protein 3B [Source:HGNC Symbol;Acc:HGNC:17256]										
84074	QRICH2	glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326]										
8637	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3290]										
9130	FAM50A	family with sequence similarity 50 member A [Source:HGNC Symbol;Acc:HGNC:18786]										
